Flight_Date,Year,Month,Month_Name,Year_Month,Airport_ICAO,Airport_Name,Country,IFR_Departures,Total_Delay_Minutes
2020-01-03,2020,1,January,2020-01,EPWA,Warszawa - Chopina,Poland,265.0,3822.66
2020-01-03,2020,1,January,2020-01,ESGG,Göteborg,Sweden,72.0,544.0
2020-01-03,2020,1,January,2020-01,ESSA,Stockholm - Arlanda,Sweden,258.0,3909.39
2020-01-03,2020,1,January,2020-01,EVRA,Riga,Latvia,128.0,566.0
2020-01-03,2020,1,January,2020-01,EYVI,Vilnius,Lithuania,61.0,251.0
2020-01-03,2020,1,January,2020-01,GCFV,Fuerteventura,Spain,54.0,549.0
2020-01-03,2020,1,January,2020-01,GCLP,Gran Canaria,Spain,184.0,2527.85
2020-01-03,2020,1,January,2020-01,GCRR,Lanzarote,Spain,84.0,736.0
2020-01-03,2020,1,January,2020-01,GCTS,Tenerife Sur - Reina Sofia,Spain,119.0,1952.0
2020-01-03,2020,1,January,2020-01,GCXO,Tenerife North,Spain,98.0,921.08
2020-01-03,2020,1,January,2020-01,LBSF,Sofia,Bulgaria,84.0,943.0
2020-01-03,2020,1,January,2020-01,LDZA,Zagreb,Croatia,54.0,961.0
2020-01-03,2020,1,January,2020-01,LEAL,Alicante,Spain,117.0,1345.0
2020-01-03,2020,1,January,2020-01,LEBB,Bilbao,Spain,60.0,1101.0
2020-01-03,2020,1,January,2020-01,LEBL,Barcelona,Spain,438.0,5389.0
2020-01-03,2020,1,January,2020-01,LEIB,Ibiza,Spain,45.0,1011.0
2020-01-03,2020,1,January,2020-01,LEMD,Madrid - Barajas,Spain,590.0,12010.22
2020-01-03,2020,1,January,2020-01,LEMG,Málaga,Spain,168.0,2657.0
2020-01-03,2020,1,January,2020-01,LEPA,Palma de Mallorca,Spain,165.0,1426.0
2020-01-03,2020,1,January,2020-01,LEVC,Valencia,Spain,96.0,1121.0
2020-01-03,2020,1,January,2020-01,LEZL,Sevilla,Spain,79.0,708.0
