Economy,Seafarer_Type,Seafarer_Count,World_Share_Percent,Year
India,Officers,69908,9.033,2015
India,Ratings,16176,1.852,2015
India,Total,86084,5.225,2015
Indonesia,Officers,51237,6.62,2015
Indonesia,Ratings,92465,10.585,2015
Indonesia,Total,143702,8.722,2015
Iran (Islamic Republic of),Officers,7631,0.986,2015
Iran (Islamic Republic of),Ratings,10023,1.147,2015
Iran (Islamic Republic of),Total,17654,1.072,2015
Iraq,Officers,132,0.017,2015
Iraq,Ratings,103,0.012,2015
Iraq,Total,235,0.014,2015
Ireland,Officers,564,0.073,2015
Ireland,Ratings,1602,0.183,2015
Ireland,Total,2166,0.131,2015
Isle of Man,Officers,100,0.013,2015
Isle of Man,Ratings,75,0.009,2015
Isle of Man,Total,175,0.011,2015
Israel,Officers,201,0.026,2015
Israel,Ratings,183,0.021,2015
Israel,Total,384,0.023,2015
Italy,Officers,12988,1.678,2015
Italy,Ratings,21498,2.461,2015
Italy,Total,34486,2.093,2015
Jamaica,Officers,223,0.029,2015
Jamaica,Ratings,240,0.027,2015
Jamaica,Total,463,0.028,2015
Japan,Officers,19119,2.47,2015
Japan,Ratings,6339,0.726,2015
Japan,Total,25458,1.545,2015
Jordan,Officers,209,0.027,2015
Jordan,Ratings,230,0.026,2015
Jordan,Total,439,0.027,2015
Kazakhstan,Officers,0,0.0,2015
Kazakhstan,Ratings,547,0.063,2015
Kazakhstan,Total,547,0.033,2015
Kenya,Officers,19,0.002,2015
Kenya,Ratings,166,0.019,2015
Kenya,Total,185,0.011,2015
Kiribati,Officers,883,0.114,2015
Kiribati,Ratings,1770,0.203,2015
Kiribati,Total,2653,0.161,2015
"Korea, Dem. People's Rep. of",Officers,1482,0.191,2015
"Korea, Dem. People's Rep. of",Ratings,1573,0.18,2015
"Korea, Dem. People's Rep. of",Total,3055,0.185,2015
"Korea, Republic of",Officers,14126,1.825,2015
"Korea, Republic of",Ratings,14042,1.607,2015
"Korea, Republic of",Total,28168,1.71,2015
Kuwait,Officers,0,0.0,2015
Kuwait,Ratings,0,0.0,2015
Kuwait,Total,0,0.0,2015
Lao People's Dem. Rep.,Officers,8,0.001,2015
Lao People's Dem. Rep.,Ratings,9,0.001,2015
Lao People's Dem. Rep.,Total,17,0.001,2015
Latvia,Officers,5500,0.711,2015
Latvia,Ratings,2278,0.261,2015
Latvia,Total,7778,0.472,2015
Lebanon,Officers,293,0.038,2015
Lebanon,Ratings,286,0.033,2015
Lebanon,Total,579,0.035,2015
Liberia,Officers,58,0.007,2015
Liberia,Ratings,604,0.069,2015
Liberia,Total,662,0.04,2015
Libya,Officers,493,0.064,2015
Libya,Ratings,413,0.047,2015
Libya,Total,906,0.055,2015
Lithuania,Officers,424,0.055,2015
Lithuania,Ratings,2479,0.284,2015
Lithuania,Total,2903,0.176,2015
Luxembourg,Officers,0,0.0,2015
Luxembourg,Ratings,0,0.0,2015
Luxembourg,Total,0,0.0,2015
Madagascar,Officers,123,0.016,2015
Madagascar,Ratings,1064,0.122,2015
Madagascar,Total,1187,0.072,2015
Malaysia,Officers,6313,0.816,2015
Malaysia,Ratings,28687,3.284,2015
Malaysia,Total,35000,2.124,2015
Maldives,Officers,456,0.059,2015
Maldives,Ratings,505,0.058,2015
Maldives,Total,961,0.058,2015
Malta,Officers,151,0.02,2015
Malta,Ratings,594,0.068,2015
Malta,Total,745,0.045,2015
Marshall Islands,Officers,1,0.0,2015
Marshall Islands,Ratings,7,0.001,2015
Marshall Islands,Total,8,0.0,2015
Martinique,Officers,21,0.003,2015
Martinique,Ratings,23,0.003,2015
Martinique,Total,44,0.003,2015
Mauritania,Officers,29,0.004,2015
Mauritania,Ratings,33,0.004,2015
Mauritania,Total,62,0.004,2015
Mauritius,Officers,98,0.013,2015
Mauritius,Ratings,665,0.076,2015
Mauritius,Total,763,0.046,2015
Mexico,Officers,4552,0.588,2015
Mexico,Ratings,1419,0.162,2015
Mexico,Total,5971,0.362,2015
Micronesia (Federated States of),Officers,163,0.021,2015
Micronesia (Federated States of),Ratings,193,0.022,2015
Micronesia (Federated States of),Total,356,0.022,2015
"Moldova, Republic of",Officers,832,0.108,2015
"Moldova, Republic of",Ratings,1758,0.201,2015
"Moldova, Republic of",Total,2590,0.157,2015
Monaco,Officers,0,0.0,2015
Monaco,Ratings,0,0.0,2015
Monaco,Total,0,0.0,2015
Mongolia,Officers,0,0.0,2015
Mongolia,Ratings,0,0.0,2015
Mongolia,Total,0,0.0,2015
Montenegro,Officers,110,0.014,2015
Montenegro,Ratings,116,0.013,2015
Montenegro,Total,226,0.014,2015
Morocco,Officers,1069,0.138,2015
Morocco,Ratings,7012,0.803,2015
Morocco,Total,8081,0.491,2015
Mozambique,Officers,85,0.011,2015
Mozambique,Ratings,94,0.011,2015
Mozambique,Total,179,0.011,2015
Myanmar,Officers,11230,1.451,2015
Myanmar,Ratings,14811,1.696,2015
Myanmar,Total,26041,1.581,2015
Namibia,Officers,26,0.003,2015
Namibia,Ratings,22,0.003,2015
Namibia,Total,48,0.003,2015
Netherlands (Kingdom of the),Officers,4708,0.608,2015
Netherlands (Kingdom of the),Ratings,348,0.04,2015
Netherlands (Kingdom of the),Total,5056,0.307,2015
New Caledonia,Officers,0,0.0,2015
New Caledonia,Ratings,0,0.0,2015
New Caledonia,Total,0,0.0,2015
New Zealand,Officers,517,0.067,2015
New Zealand,Ratings,620,0.071,2015
New Zealand,Total,1137,0.069,2015
Nicaragua,Officers,24,0.003,2015
Nicaragua,Ratings,26,0.003,2015
Nicaragua,Total,50,0.003,2015
Nigeria,Officers,1998,0.258,2015
Nigeria,Ratings,3762,0.431,2015
Nigeria,Total,5760,0.35,2015
Niue,Officers,0,0.0,2015
Niue,Ratings,215,0.025,2015
Niue,Total,215,0.013,2015
Norway,Officers,14768,1.908,2015
Norway,Ratings,18933,2.167,2015
Norway,Total,33701,2.046,2015
Oman,Officers,91,0.012,2015
Oman,Ratings,404,0.046,2015
Oman,Total,495,0.03,2015
Pakistan,Officers,2841,0.367,2015
Pakistan,Ratings,9327,1.068,2015
Pakistan,Total,12168,0.739,2015
Palau,Officers,0,0.0,2015
Palau,Ratings,0,0.0,2015
Palau,Total,0,0.0,2015
Panama,Officers,14022,1.812,2015
Panama,Ratings,11119,1.273,2015
Panama,Total,25141,1.526,2015
Papua New Guinea,Officers,561,0.072,2015
Papua New Guinea,Ratings,626,0.072,2015
Papua New Guinea,Total,1187,0.072,2015
Paraguay,Officers,414,0.053,2015
Paraguay,Ratings,449,0.051,2015
Paraguay,Total,863,0.052,2015
Peru,Officers,1113,0.144,2015
Peru,Ratings,1711,0.196,2015
Peru,Total,2824,0.171,2015
Philippines,Officers,72500,9.368,2015
Philippines,Ratings,143000,16.37,2015
Philippines,Total,215500,13.08,2015
Poland,Officers,25586,3.306,2015
Poland,Ratings,6603,0.756,2015
Poland,Total,32189,1.954,2015
Portugal,Officers,851,0.11,2015
Portugal,Ratings,590,0.068,2015
Portugal,Total,1441,0.087,2015
Qatar,Officers,0,0.0,2015
Qatar,Ratings,730,0.084,2015
Qatar,Total,730,0.044,2015
Romania,Officers,11000,1.421,2015
Romania,Ratings,5000,0.572,2015
Romania,Total,16000,0.971,2015
Russian Federation,Officers,47972,6.198,2015
Russian Federation,Ratings,49089,5.62,2015
Russian Federation,Total,97061,5.891,2015
Saint Helena,Officers,0,0.0,2015
Saint Helena,Ratings,0,0.0,2015
Saint Helena,Total,0,0.0,2015
Saint Kitts and Nevis,Officers,0,0.0,2015
Saint Kitts and Nevis,Ratings,1889,0.216,2015
Saint Kitts and Nevis,Total,1889,0.115,2015
Saint Vincent and the Grenadines,Officers,0,0.0,2015
Saint Vincent and the Grenadines,Ratings,0,0.0,2015
Saint Vincent and the Grenadines,Total,0,0.0,2015
Samoa,Officers,100,0.013,2015
Samoa,Ratings,113,0.013,2015
Samoa,Total,213,0.013,2015
Sao Tome and Principe,Officers,209,0.027,2015
Sao Tome and Principe,Ratings,222,0.025,2015
Sao Tome and Principe,Total,431,0.026,2015
Saudi Arabia,Officers,0,0.0,2015
Saudi Arabia,Ratings,0,0.0,2015
Saudi Arabia,Total,0,0.0,2015
Senegal,Officers,123,0.016,2015
Senegal,Ratings,143,0.016,2015
Senegal,Total,266,0.016,2015
Seychelles,Officers,68,0.009,2015
Seychelles,Ratings,134,0.015,2015
Seychelles,Total,202,0.012,2015
Sierra Leone,Officers,1552,0.201,2015
Sierra Leone,Ratings,3042,0.348,2015
Sierra Leone,Total,4594,0.279,2015
Singapore,Officers,7023,0.907,2015
Singapore,Ratings,1150,0.132,2015
Singapore,Total,8173,0.496,2015
Slovakia,Officers,0,0.0,2015
Slovakia,Ratings,0,0.0,2015
Slovakia,Total,0,0.0,2015
Slovenia,Officers,544,0.07,2015
Slovenia,Ratings,100,0.011,2015
Slovenia,Total,644,0.039,2015
Solomon Islands,Officers,208,0.027,2015
Solomon Islands,Ratings,1294,0.148,2015
Solomon Islands,Total,1502,0.091,2015
Somalia,Officers,51,0.007,2015
Somalia,Ratings,56,0.006,2015
Somalia,Total,107,0.006,2015
South Africa,Officers,1986,0.257,2015
South Africa,Ratings,1044,0.12,2015
South Africa,Total,3030,0.184,2015
Spain,Officers,1546,0.2,2015
Spain,Ratings,842,0.096,2015
Spain,Total,2388,0.145,2015
Sri Lanka,Officers,2282,0.295,2015
Sri Lanka,Ratings,19511,2.234,2015
Sri Lanka,Total,21793,1.323,2015
Sudan,Officers,45,0.006,2015
Sudan,Ratings,44,0.005,2015
Sudan,Total,89,0.005,2015
Suriname,Officers,52,0.007,2015
Suriname,Ratings,46,0.005,2015
Suriname,Total,98,0.006,2015
Sweden,Officers,4266,0.551,2015
Sweden,Ratings,3972,0.455,2015
Sweden,Total,8238,0.5,2015
Switzerland,Officers,4,0.001,2015
Switzerland,Ratings,2,0.0,2015
Switzerland,Total,6,0.0,2015
"Switzerland, Liechtenstein",Officers,4,0.001,2015
"Switzerland, Liechtenstein",Ratings,2,0.0,2015
"Switzerland, Liechtenstein",Total,6,0.0,2015
Syrian Arab Republic,Officers,92,0.012,2015
Syrian Arab Republic,Ratings,96,0.011,2015
Syrian Arab Republic,Total,188,0.011,2015
"Tanzania, United Republic of",Officers,339,0.044,2015
"Tanzania, United Republic of",Ratings,1659,0.19,2015
"Tanzania, United Republic of",Total,1998,0.121,2015
